Interface Name,Source Name,Element Name,LDM Field,LDM Object,LDM Text,LDM Text Type,Internal ID
BP Details,BTFG$UI_BP.BP.XSD,dir_cont_bcode,BPAY Biller Code,,LDM:btfg$code_ldm_obj_fld.cont$bcode,ldm_obj_fld,cont$bcode
BP Details,BTFG$UI_BP.BP.XSD,dir_cont_bsb,BSB,,LDM:btfg$code_ldm_obj_fld.cont$bsb,ldm_obj_fld,cont$bsb
BP Details,BTFG$UI_BP.BP.XSD,close_date,Close Date,,LDM:btfg$code_ldm_obj_fld.obj$close_date,ldm_obj_fld,obj$close_date
BP Details,BTFG$UI_BP.BP.XSD,open_date,Open Date,,LDM:btfg$code_ldm_obj_fld.obj$open_date,ldm_obj_fld,obj$open_date
BP Details,BTFG$UI_BP.BP.XSD,sign_date,Document Signature Date,,LDM:btfg$code_ldm_obj_fld.person$docm_sign_date,ldm_obj_fld,person$docm_sign_date
UI AAL Details,BTFG$UI_AAL_LIST.AAL#ASSET.XSD,asset_id,Asset,Asset,LDM:btfg$code_ldm_obj.asset,ldm_obj,asset
UI AAL Details,BTFG$UI_AAL_LIST.AAL#ASSET.XSD,aal,Collection,Collection,LDM:btfg$code_ldm_obj.collect,ldm_obj,collect
UI AAL Details,BTFG$UI_AAL_LIST.AAL#ASSET.XSD,dg_id,Dealer Group,Dealer Group,LDM:btfg$code_ldm_obj.person_oe_imed_dg,ldm_obj,person_oe_imed_dg
UI AAL Details,BTFG$UI_AAL_LIST.AAL#ASSET.XSD,prod_id,Product,Product,LDM:btfg$code_ldm_obj.prod,ldm_obj,prod
UI APL Details,BTFG$UI_APL_LIST.ALL#PROD.XSD,apl,Collection,Collection,LDM:btfg$code_ldm_obj.collect,ldm_obj,collect
UI APL Details,BTFG$UI_APL_LIST.ALL#PROD.XSD,oe_id,Organizational Entity,Organizational Entity,LDM:btfg$code_ldm_obj.person_oe,ldm_obj,person_oe
UI APL Details,BTFG$UI_APL_LIST.ALL#PROD.XSD,apl_type_id,APL Type,,LDM:btfg$code_ldm_obj_fld.collect$apl_type,ldm_obj_fld,collect$apl_type
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,ips_id,Investment Policy Statement,Investment Policy Statement,LDM:btfg$code_ldm_obj.ips,ldm_obj,ips
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,fund_mgr,Person,Person,LDM:btfg$code_ldm_obj.person,ldm_obj,person
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,issuer,BP Numeric Key,,LDM:btfg$code_ldm_obj_fld.acc$bp_nr,ldm_obj_fld,acc$bp_nr
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,issuer_name,Name,,LDM:btfg$code_ldm_obj_fld.acc$name,ldm_obj_fld,acc$name
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,cton_class,Asset Class,,LDM:btfg$code_ldm_obj_fld.asset$asset_class,ldm_obj_fld,asset$asset_class
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,class,Asset Class Group,,LDM:btfg$code_ldm_obj_fld.asset$asset_class_grp,ldm_obj_fld,asset$asset_class_grp
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,clustr,Asset Cluster ID,,LDM:btfg$code_ldm_obj_fld.asset$asset_clustr,ldm_obj_fld,asset$asset_clustr
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,grp,Asset Group,,LDM:btfg$code_ldm_obj_fld.asset$asset_grp,ldm_obj_fld,asset$asset_grp
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,isin,Asset ISIN,,LDM:btfg$code_ldm_obj_fld.asset$asset_isin,ldm_obj_fld,asset$asset_isin
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,key,Asset Key,,LDM:btfg$code_ldm_obj_fld.asset$asset_key,ldm_obj_fld,asset$asset_key
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,macc_type,Asset MACC Type ID,,LDM:btfg$code_ldm_obj_fld.asset$asset_macc_type,ldm_obj_fld,asset$asset_macc_type
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,msc_grp,Asset MSC Group ID,,LDM:btfg$code_ldm_obj_fld.asset$asset_msc_grp,ldm_obj_fld,asset$asset_msc_grp
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,msc_sec,Asset MSC Sector ID,,LDM:btfg$code_ldm_obj_fld.asset$asset_msc_sec,ldm_obj_fld,asset$asset_msc_sec
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,generic_asset_id,Asset Name,,LDM:btfg$code_ldm_obj_fld.asset$asset_name,ldm_obj_fld,asset$asset_name
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,period,Asset Period,,LDM:btfg$code_ldm_obj_fld.asset$asset_period,ldm_obj_fld,asset$asset_period
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,status,Asset Status ID,,LDM:btfg$code_ldm_obj_fld.asset$asset_status,ldm_obj_fld,asset$asset_status
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,std_risk_meas,Asset Standard Risk Measure ID,,LDM:btfg$code_ldm_obj_fld.asset$asset_std_risk_meas_type,ldm_obj_fld,asset$asset_std_risk_meas_type
UI Assets details,BTFG$UI_ASSET_LIST.ASSET.XSD,wtax_form_relv_id,WTax Form Relevant,,LDM:btfg$code_ldm_obj_fld.asset$wtax_form_relv,ldm_obj_fld,asset$wtax_form_relv
