Interface Name,Source Name,LDM Text Type,Internal ID,LDM Object Type,Element Name,LDM Field,Entity Name_x,LDM Text,Entity Name_y,Attribute Name,Type,Description
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Postal Address,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Electronical Address,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Asset,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Collection,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Container,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Shadow Container,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Client Container,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,FTP Container,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Country,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Currency,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Document,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Investment Policy Statement,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Asset Allocation,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Strategic Asset Allocation,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Master Asset Allocation,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Hobs,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Benchmark,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Model Portfolio,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Product,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Platform Offering,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Product Category,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Private Label,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Badge,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Cash & Direct Offer,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,MP Offer,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Cash & Direct Model,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,MP Labelled Model,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,obj$open_date,obj,opn_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Position,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Object,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Person,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Organizational Entity,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Intermediary Structure,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Issuer Entity,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Super Dealer Group,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Dealer Group,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Practice,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Office,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Adviser Position,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Internal Structure,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Investment Manager Structure,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Investment Manager Position,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Profile,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Legal Person,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Counterparty,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Organizational Investor,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Corporate Investor,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Trust Investor,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,SMSF Investor,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Organizational Intermediary,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Owner,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Natural Person,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Individual Investor,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Internal User,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Indiviudal Intermediary,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Adviser,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Dealer Group Manager,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Adviser Assistant,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Paraplanner,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Practice Manager,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Contact,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Account,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Address,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Postal Address,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Electronical Address,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Asset,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Collection,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Container,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Shadow Container,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Client Container,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,FTP Container,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Country,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Currency,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Document,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Investment Policy Statement,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Asset Allocation,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Strategic Asset Allocation,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Master Asset Allocation,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Hobs,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Benchmark,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Model Portfolio,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Product,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Platform Offering,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Product Category,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Private Label,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Badge,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Cash & Direct Offer,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,MP Offer,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Cash & Direct Model,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,MP Labelled Model,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI Feedback List,BTFG$UI_FEEDBACK_LIST.DOC.XSD,ldm_obj_fld,obj$open_date,obj,open_date,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Position,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Object,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Person,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Organizational Entity,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Intermediary Structure,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Issuer Entity,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Super Dealer Group,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Dealer Group,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Practice,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Office,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
UI TD rates with Dealer Group,BTFG$UI_FIDD_RATE_LIST.IRC_DG.XSD,ldm_obj_fld,obj$open_date,obj,dealer_group_sop,Open Date,Object,LDM:btfg$code_ldm_obj_fld.obj$open_date,Adviser Position,Open Date,date,Opening date / (ABS Field Type Avaloq DDIC Date)
